,순위,항목,집계구번호,값,비율(%),도로명 주소,폴리곤_위치정보
0,1,화양동_1,11050530020011,643,4.7,서울특별시 광진구 광나루로 346,"POLYGON ((127.06904203111533 37.548059126521245, 127.06877420259558 37.547582350727964, 127.06877272131335 37.547582441765066, 127.06853874414244 37.54759949334051, 127.06851846603404 37.54760078658603, 127.06838813396512 37.54760908581341, 127.06836880803237 37.54761016892103, 127.0680886483416 37.547625833003195, 127.06804455172885 37.5476283000353, 127.06796429979916 37.547632652001916, 127.0678870736376 37.54763683925088, 127.06767667883969 37.547652772976456, 127.06754029423794 37.54766310148066, 127.06728784020079 37.54768543330954, 127.06717081305048 37.5477256391892, 127.06713289484193 37.54774106834963, 127.06725810921837 37.54796364044148, 127.06746324089401 37.548325428843796, 127.06746518856167 37.54832886291587, 127.06746584076598 37.54833001723348, 127.0674888623599 37.54832926510569, 127.06750729359285 37.54832867822265, 127.06773432908948 37.54832144250798, 127.06804499141407 37.5483109194716, 127.06811678093362 37.548308488816964, 127.06816881395801 37.54830128624521, 127.06840161072482 37.54826906316557, 127.0686745280792 37.54823128420771, 127.06868525961754 37.54822979652354, 127.06880870862153 37.54821579870359, 127.06907591773171 37.548185491834005, 127.06904203111533 37.548059126521245))"
1,2,화양동_2,11050530020010,472,3.4,서울특별시 광진구 광나루로16길 18,"POLYGON ((127.0688397160429 37.546265495319346, 127.06882710919875 37.54623982472856, 127.06882215397307 37.54624125058565, 127.0686830406698 37.546283568512635, 127.0686793301568 37.54628469698543, 127.06853198130322 37.54632953277181, 127.06813949432748 37.546447784999664, 127.06815399087075 37.546473950205794, 127.06817030015569 37.54650339486949, 127.06819507648298 37.546547673409655, 127.06824517273488 37.54663738435577, 127.06824668529124 37.54664010387509, 127.0682932297406 37.546723851991096, 127.06832682336511 37.54678369483263, 127.06835093631562 37.54682663148915, 127.0683514853554 37.546827613264945, 127.06840353159474 37.54692081861978, 127.06845477335406 37.54701260047473, 127.06855833302077 37.54719807353256, 127.06877420259558 37.547582350727964, 127.06878620903689 37.54758159508113, 127.06900834262488 37.547568646928916, 127.06900940601926 37.54756858410561, 127.06918108375892 37.54755817805962, 127.06953061526576 37.547535272231286, 127.06951894805812 37.54750893366147, 127.06951369874282 37.54747407811722, 127.06947639861428 37.5473961274482, 127.06943748012121 37.54731850253231, 127.06939153070893 37.547249107498416, 127.06938075433136 37.547232833023905, 127.06936574867396 37.54720671297877, 127.06932320085089 37.54713265769077, 127.06931824863067 37.54712411012163, 127.0692640171365 37.547030554666215, 127.06919673519367 37.54690912232274, 127.06918884677401 37.54689442221424, 127.06916957628916 37.5468585555999, 127.06911769354407 37.54675901735508, 127.0690581094868 37.54665143705906, 127.0690435776668 37.54662405502379, 127.06902973693667 37.54659796982154, 127.06895556997209 37.546469774578924, 127.06890862686463 37.54638910877601, 127.06889334953378 37.54636284436412, 127.06884850171215 37.54628339312916, 127.0688397160429 37.546265495319346))"
2,3,화양동_3,11050530010005,445,3.2,서울특별시 광진구 능동로 180,"POLYGON ((127.07426418210278 37.5472886946152, 127.07488620859792 37.54705054848006, 127.07488871421106 37.547053070447376, 127.07489406096438 37.54705843652903, 127.0749050148173 37.54705482910579, 127.07492828124307 37.54704716301083, 127.07499501623113 37.547018754641925, 127.07506997619379 37.54697446692428, 127.07511872043679 37.5469456656495, 127.07512225977948 37.54694357281866, 127.07534227473393 37.54680609489458, 127.07556085864 37.54668526304901, 127.07550841123819 37.54661174852626, 127.0754067332721 37.54646923956408, 127.07538779539162 37.54645126698156, 127.07536716959574 37.546431701956294, 127.07528547281842 37.54633226472213, 127.07525356671184 37.54629167829145, 127.07522930767851 37.54627082655879, 127.07521438105064 37.54625798624843, 127.07517888158783 37.54626832506241, 127.07495222212462 37.54633436542794, 127.07482700710058 37.546363662887714, 127.07463220171134 37.54639601122384, 127.07457001639447 37.54640258248196, 127.07453658073186 37.54640611701993, 127.07452022418846 37.54637578162171, 127.07445953344282 37.546289116825946, 127.07439789843443 37.546201695105985, 127.07436376838507 37.54615196341543, 127.07435616935126 37.54613537997226, 127.07434668990958 37.546115024782516, 127.07433435629744 37.54609015614759, 127.07432864848289 37.54607583290302, 127.07430776238269 37.546008749208994, 127.07429256988945 37.54596804342475, 127.07427452598291 37.54591377006315, 127.07424699514254 37.545843670828994, 127.07423940611811 37.545826332068266, 127.0742001811905 37.54575288357921, 127.07419956069965 37.54575171950988, 127.0741739583475 37.5457117747364, 127.07415213700966 37.54567182829226, 127.07399130646571 37.545714518507616, 127.07386952234009 37.54573285608676, 127.07384554120831 37.54573646687586, 127.07359991212803 37.54578432354438, 127.07359629545267 37.54577614420596, 127.07341365329381 37.54581947507108, 127.07345893368343 37.54592036035002, 127.07352657791793 37.54607106395831, 127.07384982473039 37.5467375368454, 127.0738913404553 37.546841116021525, 127.07390960364205 37.54688668583965, 127.07402294734469 37.547169447197135, 127.07412738038464 37.54728346739102, 127.07413096034752 37.547287374140375, 127.07417043483278 37.547312494816225, 127.0742562676563 37.54729172167221, 127.07426418210278 37.5472886946152))"
3,4,화양동_4,11050530020028,444,3.2,서울특별시 광진구 군자로6길 45,"POLYGON ((127.0729917466597 37.54621327548147, 127.07301371458983 37.546193097891724, 127.07316048340705 37.5460664286852, 127.07323164893647 37.54600683968219, 127.073245829922 37.54599731584535, 127.07326484910303 37.54598363624986, 127.07328051358152 37.545973814916685, 127.07328820327376 37.545969683870354, 127.07345893368343 37.54592036035002, 127.07341365329381 37.54581947507108, 127.07332420377539 37.545620204296156, 127.0731064866743 37.54516810082774, 127.07299171730328 37.54492663244208, 127.07297779407247 37.54489735031038, 127.07281042573727 37.54494624004031, 127.07258905129524 37.54501090242651, 127.07251146914409 37.54503314912222, 127.07219376661445 37.545124232193075, 127.07217760048904 37.54512873808487, 127.07218423943989 37.54514960053362, 127.07218923368066 37.54516529314632, 127.0722001843453 37.54519827097748, 127.07220274517901 37.54521249638044, 127.07220283225344 37.545258673031285, 127.07219856073222 37.5452886509726, 127.07219838052248 37.54528987617439, 127.07219478782244 37.545305862191434, 127.07218561161079 37.54533241072343, 127.07216610819555 37.54537178688144, 127.07215462670472 37.54539009235579, 127.07213395587453 37.545404755460645, 127.07212980612762 37.545407875341304, 127.07215035537202 37.545418846263026, 127.07223816342629 37.54546577155385, 127.07228329625762 37.54548379984999, 127.0723022098936 37.545489788473915, 127.07236625413668 37.54550865319955, 127.07237971241415 37.54552636845242, 127.07240247705538 37.5455589437744, 127.07241614571258 37.54559333480481, 127.07241690237397 37.54560395728575, 127.07241845011099 37.54562591356862, 127.0724073910832 37.54564438189146, 127.07239015532704 37.54566787185956, 127.07236429001317 37.545706837399756, 127.07233267577617 37.54574409393214, 127.07231469926192 37.545760710134786, 127.07230733241188 37.54577292294913, 127.0723053666647 37.54577618594371, 127.07231466498416 37.54579603767338, 127.07233109961766 37.54581271452115, 127.07236629153995 37.54584692215567, 127.07239954275667 37.54587645372857, 127.07241322080391 37.545886816536324, 127.07242104569342 37.54589251529082, 127.07244514534153 37.54590028567029, 127.07255395041524 37.545941188216496, 127.07256046127837 37.54594585192605, 127.07256242165698 37.54594947256325, 127.07256438353367 37.54595362498711, 127.0725637387902 37.54596503198533, 127.07256574614307 37.5460179279365, 127.07256446205992 37.546035038180236, 127.07256380985221 37.546040219500554, 127.07255405769911 37.546054235416925, 127.07251764119582 37.54611232648304, 127.07248901112764 37.54614657247661, 127.0724772988379 37.54615850814723, 127.07244866695953 37.546179780084735, 127.07242913386791 37.54618964857066, 127.07241611319108 37.54619380983826, 127.0724030907979 37.54619588987561, 127.0723900662127 37.54619537491695, 127.07236793079734 37.54619331627136, 127.07230279343311 37.546189724625926, 127.07220965725031 37.54618200426403, 127.07206505790946 37.54616549482663, 127.07205463569346 37.54616342809601, 127.07204877072671 37.546160837091264, 127.07204551009828 37.54615773093003, 127.07204420369106 37.546153578157025, 127.0720578121453 37.54607631031157, 127.07207336482095 37.54599695927823, 127.07207263072657 37.545987156211474, 127.07206430711214 37.545981369082334, 127.07202377943268 37.54597477934534, 127.07196142200361 37.54596653667915, 127.07189490071816 37.54595913425203, 127.07176498648836 37.54593769590927, 127.07172932417969 37.545931734821, 127.07172176093907 37.54595154256269, 127.07162399507288 37.54620771661253, 127.07201489399739 37.54657297065007, 127.07201726986123 37.546572032844914, 127.07206466805518 37.546555877510144, 127.07217859210752 37.54652661778927, 127.07219205548152 37.546524445644145, 127.07244347881408 37.54650681725528, 127.0724667849933 37.546502117261745, 127.07246717963233 37.546501999722345, 127.07248658120855 37.546496337348515, 127.07266310205449 37.54642827159726, 127.07272095716674 37.54640231468506, 127.07274915534377 37.54638780937565, 127.07289090021192 37.546296984455836, 127.07294162901798 37.54625931110015, 127.07298201217567 37.54622222045728, 127.0729917466597 37.54621327548147))"
4,5,화양동_5,11050530020009,435,3.1,서울특별시 광진구 동일로22길 101,"POLYGON ((127.07071071996984 37.54175853569917, 127.07057255359318 37.541466486842616, 127.07040313419496 37.541516431165284, 127.07040293183886 37.54151598876771, 127.07030633667505 37.54131043870605, 127.07030591732527 37.54130954663664, 127.07047021534285 37.541267093922976, 127.07033585089047 37.54097403468037, 127.07017027914934 37.54102097493645, 127.07016983851476 37.541020037711725, 127.07007687222627 37.54082223428859, 127.0700590656239 37.5407766547065, 127.0701230837788 37.54074958755961, 127.07048505590058 37.54063161774714, 127.07048557754588 37.54063145559883, 127.07073835817542 37.54055020826319, 127.07090703783255 37.54049598745458, 127.07071450578034 37.54008464523573, 127.07061311854817 37.53992969082067, 127.07061274936218 37.53992912523803, 127.07060235023998 37.53993266940422, 127.07059934701354 37.53993369323347, 127.07032969445125 37.54002577897841, 127.0702673093656 37.53991359299157, 127.06974692703056 37.5400961565888, 127.06972970026848 37.540102201403315, 127.06796674798792 37.540720657013324, 127.06801212293347 37.540812195937676, 127.0680125906047 37.54081314227789, 127.0679790940594 37.540824466003286, 127.06805600268177 37.54096867461018, 127.06824397647894 37.54132110995092, 127.06828122841371 37.541387645270504, 127.06854109716821 37.54129845608026, 127.06880259739525 37.541208708032535, 127.06919087354103 37.5410754467417, 127.0692085208549 37.54110809686403, 127.06922182620352 37.5411316599104, 127.06927521013804 37.54123032392319, 127.06937300023742 37.541411033363964, 127.06947391914449 37.541597526360846, 127.06962311217625 37.54187447754103, 127.06964359399217 37.54191250546072, 127.06964511275825 37.54191532415003, 127.06975718698587 37.542123371044894, 127.06976841862782 37.542144222451334, 127.06986314100419 37.54232003220182, 127.06994123556086 37.542465001939554, 127.0699572625197 37.54249529260163, 127.06995824903746 37.542497166507125, 127.06997449220522 37.54252765535214, 127.07023465062935 37.54243961275953, 127.07023658558302 37.542438953682236, 127.07046037697766 37.54236322138684, 127.07046093161263 37.542363031439, 127.07069883964252 37.54228253319649, 127.0707569025757 37.54226292892689, 127.07075654022441 37.542262163255366, 127.07063736316967 37.542012279472495, 127.07063716074893 37.542011847871656, 127.07054797001678 37.54182419612137, 127.07054231153916 37.54181231642718, 127.07071071996984 37.54175853569917))"
5,6,화양동_6,11050530020034,431,3.1,서울특별시 광진구 아차산로27길 54-6,"POLYGON ((127.06970178955547 37.54406331991578, 127.0696539835205 37.543972977942055, 127.06953042629385 37.54373949436627, 127.06942071542828 37.54353216619448, 127.06942000326326 37.5435308151641, 127.06921764172431 37.54314697394056, 127.06918302296403 37.543081303941506, 127.0691827967577 37.54308087947211, 127.06905649390222 37.54284131477366, 127.06865414999983 37.542975386760936, 127.06858331448588 37.542998988628554, 127.06826804980822 37.543103592173736, 127.06826780021954 37.5431036814158, 127.06814486278128 37.543146818595126, 127.06800323776994 37.54319573168468, 127.06799806773918 37.54319753711167, 127.06801245165269 37.54322328912261, 127.06822667532987 37.54360669263794, 127.06845817874503 37.54353157194029, 127.0684901813398 37.54352118361202, 127.06850500634286 37.54354901660924, 127.06854868847556 37.543631021806156, 127.06860013817904 37.54372761041326, 127.06865149387006 37.543824042722285, 127.06869273047222 37.543901459165944, 127.06877006584102 37.54404664499645, 127.06880107686892 37.544104867582725, 127.06883303197509 37.54409292954797, 127.0690068022226 37.544027958928645, 127.06923954759442 37.54446128382953, 127.06925219697273 37.5444848417514, 127.06915249240988 37.544518726734765, 127.06904344256614 37.54455563941303, 127.06904154260256 37.544556307572286, 127.06885464517802 37.544621519644664, 127.06863025766879 37.54469905209836, 127.06864347410121 37.54472299254467, 127.06869830771149 37.5448222416337, 127.06874961620072 37.54488869652622, 127.06890815324795 37.5449826429586, 127.06894792693637 37.54500620802501, 127.06905042473758 37.544894679140626, 127.06918811381051 37.54474449514359, 127.06930036332791 37.5446183816836, 127.06944421884987 37.54445654375159, 127.06949106345161 37.54440383575818, 127.069622982244 37.54425617742744, 127.06970208608008 37.54416594280676, 127.0697565975171 37.54412109539816, 127.06972967767163 37.54409482920242, 127.06971402454428 37.5440796204173, 127.06970178955547 37.54406331991578))"
6,7,화양동_7,11050530020003,388,2.8,서울특별시 광진구 아차산로27길 18-6,"POLYGON ((127.06880910760444 37.54238817647805, 127.06869424138259 37.54217549902222, 127.06868189301618 37.542152638853516, 127.0686549395602 37.542102135821885, 127.06858606112876 37.541973054630766, 127.06854248207158 37.54189139412421, 127.06852494705025 37.54185852707966, 127.06831372751968 37.541453543054615, 127.06828122841371 37.541387645270504, 127.0682097401709 37.54141219274272, 127.06807015105015 37.541458040661304, 127.06806910996038 37.54145838385569, 127.06789176373374 37.54151661596726, 127.06779753329968 37.54154541007, 127.06779305433619 37.54154693589818, 127.06748555591057 37.54165127111331, 127.06748366631079 37.541651912260164, 127.06721780492903 37.54174204247699, 127.06723407101732 37.541773820733276, 127.06739083976139 37.542080259577006, 127.06740448231457 37.54207536834791, 127.0676348267519 37.54199758329638, 127.06766623808201 37.54198697038662, 127.06766644303802 37.54198734880987, 127.06776950219499 37.542178778802274, 127.06777319700244 37.54218563358974, 127.06777546272403 37.54218983947061, 127.0674960713343 37.5422899862193, 127.06754902249709 37.54238767957193, 127.06783593881015 37.54230217659903, 127.06789046888397 37.54240331964212, 127.06789174906845 37.54240568767026, 127.06793584856558 37.542487131287615, 127.0679361878678 37.542487770694436, 127.06801057464267 37.54262534600758, 127.06801189843503 37.54262780613645, 127.06806281297749 37.54272196570083, 127.06806369343657 37.542723570626954, 127.06811028850811 37.54280810145464, 127.06811058308844 37.542808641534165, 127.068163026842 37.542906974491245, 127.06816397873023 37.54290876624487, 127.06826780021954 37.5431036814158, 127.06826804980822 37.543103592173736, 127.06858331448588 37.542998988628554, 127.06865414999983 37.542975386760936, 127.06905649390222 37.54284131477366, 127.0690546013242 37.54283794670231, 127.06902486517463 37.54278859003823, 127.06891468550911 37.54258392853808, 127.0688698461804 37.54250064019062, 127.06880910760444 37.54238817647805))"
7,8,화양동_8,11050530020012,381,2.8,서울특별시 광진구 광나루로12길 7,"POLYGON ((127.0683514853554 37.546827613264945, 127.06835093631562 37.54682663148915, 127.0683182376828 37.546838507148024, 127.06812571450705 37.54690841516755, 127.06770169245446 37.54706065144286, 127.06767058366879 37.54707182340247, 127.0676868202479 37.547096401444236, 127.06765791837566 37.54710630332838, 127.06707241086679 37.5473069561467, 127.06695906212688 37.54734580431843, 127.06691815524869 37.54736049055543, 127.06694473178672 37.547406603903156, 127.0670215960429 37.547543233394336, 127.06713289484193 37.54774106834963, 127.06717081305048 37.5477256391892, 127.06728784020079 37.54768543330954, 127.06754029423794 37.54766310148066, 127.06767667883969 37.547652772976456, 127.0678870736376 37.54763683925088, 127.06796429979916 37.547632652001916, 127.06804455172885 37.5476283000353, 127.0680886483416 37.547625833003195, 127.06836880803237 37.54761016892103, 127.06838813396512 37.54760908581341, 127.06851846603404 37.54760078658603, 127.06853874414244 37.54759949334051, 127.06877272131335 37.547582441765066, 127.06877420259558 37.547582350727964, 127.06855833302077 37.54719807353256, 127.06845477335406 37.54701260047473, 127.06840353159474 37.54692081861978, 127.0683514853554 37.546827613264945))"
8,9,화양동_9,11050530020033,380,2.8,서울특별시 광진구 광나루로16길 9-9,"POLYGON ((127.07035568925365 37.547483735504784, 127.07028837148113 37.54714039867363, 127.07052923060525 37.547142922632986, 127.07055549303485 37.54703065371472, 127.07056859176036 37.546936960637105, 127.07058507995131 37.54681245273519, 127.07051745833573 37.54681519479341, 127.07049301853444 37.546817371898975, 127.07033367273887 37.54683648493294, 127.07028041684934 37.54684394900996, 127.0702320936419 37.54685332027317, 127.07021635927039 37.54677307775571, 127.07018128539757 37.54659419737847, 127.07018413251292 37.54657664489991, 127.0701399228813 37.546553956435076, 127.07012805781784 37.54654786336148, 127.07010748439632 37.546571066799984, 127.06987756195555 37.54665082127087, 127.06947282772548 37.54679073521698, 127.06921425353731 37.54688514536812, 127.06918884677401 37.54689442221424, 127.06919673519367 37.54690912232274, 127.0692640171365 37.547030554666215, 127.06931824863067 37.54712411012163, 127.06932320085089 37.54713265769077, 127.06936574867396 37.54720671297877, 127.06938075433136 37.547232833023905, 127.06939153070893 37.547249107498416, 127.06943748012121 37.54731850253231, 127.06947639861428 37.5473961274482, 127.06951369874282 37.54747407811722, 127.06951894805812 37.54750893366147, 127.06953061526576 37.547535272231286, 127.06954686414934 37.54753420838657, 127.06968950687215 37.54752535064717, 127.0699173311803 37.547511200172416, 127.07007321164075 37.5475008425662, 127.07030987149041 37.54748511368465, 127.07035595092698 37.547485086677554, 127.07035568925365 37.547483735504784))"
9,10,화양동_10,11050530020023,375,2.7,서울특별시 광진구 군자로5길 7-9,"POLYGON ((127.07088266555205 37.5453459866807, 127.07092887285353 37.54529142261882, 127.07095585246661 37.54530662463676, 127.07099270426978 37.54532738869566, 127.071048742814 37.545355061022285, 127.07114075377343 37.54540625499558, 127.07124081290937 37.5454611204754, 127.07125001775235 37.545466602576525, 127.07126726786544 37.54547208775647, 127.07129715235902 37.54547207006938, 127.07138336826928 37.54547292927414, 127.07144199902673 37.54547655279079, 127.07155812731169 37.5455085233872, 127.0716788635788 37.54554140109278, 127.07173175355048 37.54555418121884, 127.07174826490997 37.54555564001149, 127.0717524524236 37.54555600763346, 127.07177429203877 37.545556904349205, 127.0717938319311 37.545554144968314, 127.07184324427521 37.54553764551564, 127.07195930079754 37.54549272461072, 127.07203169416493 37.54546339014644, 127.07208225262293 37.54543865457786, 127.07211327418108 37.54542032801086, 127.07212980612762 37.545407875341304, 127.07213395587453 37.545404755460645, 127.07215462670472 37.54539009235579, 127.07216610819555 37.54537178688144, 127.07218561161079 37.54533241072343, 127.07219478782244 37.545305862191434, 127.07219838052248 37.54528987617439, 127.07219856073222 37.5452886509726, 127.07220283225344 37.545258673031285, 127.07220274517901 37.54521249638044, 127.0722001843453 37.54519827097748, 127.07218923368066 37.54516529314632, 127.07218423943989 37.54514960053362, 127.07217760048904 37.54512873808487, 127.07211000740253 37.54514756399049, 127.07210568534492 37.545148746229216, 127.07171032690266 37.54525730863328, 127.07150984804734 37.54514966008267, 127.07150916859186 37.54514929978389, 127.0712408568849 37.54499825415731, 127.07120838655777 37.544979973955364, 127.07118019621299 37.54496410601709, 127.07118190222904 37.54496191563168, 127.07118644573727 37.54495606610114, 127.07115852757876 37.54494030552988, 127.0711241326001 37.544920891657696, 127.07083069279925 37.5447473353212, 127.07059807485294 37.54460975526238, 127.07034918832956 37.54446254317666, 127.07034283664876 37.544458789343615, 127.0700839238908 37.54430958249936, 127.07006237791137 37.54433232719095, 127.06988075646912 37.544524145250755, 127.06974125633057 37.54467146619916, 127.06969711123163 37.54471753304333, 127.06952240587381 37.54489986824652, 127.0695016263873 37.544921548454006, 127.0695043209003 37.54492306986235, 127.06955821151884 37.54495304160575, 127.06961156969359 37.54498368111334, 127.06961218126449 37.54498403216703, 127.06976848620538 37.54507264413903, 127.06977130481454 37.54507423720247, 127.06978486748189 37.54508193277009, 127.06992887747455 37.54516293919657, 127.06993047409158 37.545163848173445, 127.06997789957813 37.54519075141523, 127.0700228353825 37.545215952852985, 127.07002547233733 37.545217446979706, 127.07022221873478 37.54532873131847, 127.07034947405981 37.54540055636743, 127.07034996029039 37.54540084476076, 127.07051477097738 37.545496325269916, 127.0706451089673 37.54557295999993, 127.07067856485554 37.54559212182812, 127.07070315554247 37.54560619932257, 127.07074797767484 37.54554608606784, 127.07082146604102 37.54541469616332, 127.07088266555205 37.5453459866807))"
